Sample ID	Sample Type
TCGA-CR-6487-01A	Primary Tumor
TCGA-BA-A6DL-01A	Primary Tumor
TCGA-CV-7422-01A	Primary Tumor
TCGA-CR-7371-01A	Primary Tumor
TCGA-BA-5556-01A	Primary Tumor
TCGA-CQ-7072-01A	Primary Tumor
TCGA-CV-7183-01A	Primary Tumor
TCGA-CR-6480-01A	Primary Tumor
TCGA-UF-A7JC-01A	Primary Tumor
TCGA-CN-4740-01A	Primary Tumor
TCGA-CN-6020-01A	Primary Tumor
TCGA-CV-7102-01A	Primary Tumor
TCGA-CN-6022-01A	Primary Tumor
TCGA-CN-4722-01A	Primary Tumor
TCGA-CV-A468-01A	Primary Tumor
TCGA-BB-4224-01A	Primary Tumor
TCGA-RS-A6TP-01A	Primary Tumor
TCGA-CN-4723-01A	Primary Tumor
TCGA-CX-7082-01A	Primary Tumor
TCGA-H7-A6C4-01A	Primary Tumor
TCGA-UF-A7JO-01A	Primary Tumor
TCGA-HD-A6I0-01A	Primary Tumor
TCGA-CV-6436-01A	Primary Tumor
TCGA-CN-6997-01A	Primary Tumor
TCGA-CN-5374-01A	Primary Tumor
TCGA-QK-A6IH-01A	Primary Tumor
TCGA-CV-7410-01A	Primary Tumor
TCGA-CQ-A4CB-01A	Primary Tumor
TCGA-CV-A45O-01A	Primary Tumor
TCGA-D6-8569-01A	Primary Tumor
TCGA-CN-A63V-01A	Primary Tumor
TCGA-CV-A6JZ-01A	Primary Tumor
TCGA-CX-7219-01A	Primary Tumor
TCGA-CR-7382-01A	Primary Tumor
TCGA-CV-A463-01A	Primary Tumor
TCGA-CV-5434-01A	Primary Tumor
TCGA-F7-A620-01A	Primary Tumor
TCGA-TN-A7HI-01A	Primary Tumor
TCGA-CN-A642-01A	Primary Tumor
TCGA-CN-6023-01A	Primary Tumor
TCGA-BA-A6DE-01A	Primary Tumor
TCGA-CN-5364-01A	Primary Tumor
TCGA-CV-6956-01A	Primary Tumor
TCGA-CV-7433-01A	Primary Tumor
TCGA-CN-4731-01A	Primary Tumor
TCGA-CV-6934-01A	Primary Tumor
TCGA-P3-A6T7-01A	Primary Tumor
TCGA-P3-A5QE-01A	Primary Tumor
TCGA-KU-A66S-01A	Primary Tumor
TCGA-BA-4078-01A	Primary Tumor
TCGA-CQ-A4CA-01A	Primary Tumor
TCGA-CV-6959-01A	Primary Tumor
TCGA-IQ-7631-01A	Primary Tumor
TCGA-CV-6003-01A	Primary Tumor
TCGA-CV-6960-01A	Primary Tumor
TCGA-CQ-7069-01A	Primary Tumor
TCGA-CR-7379-01A	Primary Tumor
TCGA-BA-6872-01A	Primary Tumor
TCGA-CV-7097-01A	Primary Tumor
TCGA-CV-7263-01A	Primary Tumor
TCGA-CV-7438-01A	Primary Tumor
TCGA-P3-A5QF-01A	Primary Tumor
TCGA-CV-7261-11A	Solid Tissue Normal
TCGA-CN-5367-01A	Primary Tumor
TCGA-CV-7416-01A	Primary Tumor
TCGA-KU-A6H7-06A	Metastatic
TCGA-CR-7373-01A	Primary Tumor
TCGA-P3-A6T6-01A	Primary Tumor
TCGA-QK-A8Z9-01B	Primary Tumor
TCGA-CV-6955-11A	Solid Tissue Normal
TCGA-P3-A6T4-01A	Primary Tumor
TCGA-UF-A71B-01A	Primary Tumor
TCGA-CR-7402-01A	Primary Tumor
TCGA-D6-6825-01A	Primary Tumor
TCGA-CN-5370-01A	Primary Tumor
TCGA-CV-7254-01A	Primary Tumor
TCGA-KU-A6H7-01A	Primary Tumor
TCGA-QK-A6II-01A	Primary Tumor
TCGA-CV-5442-01A	Primary Tumor
TCGA-CQ-A4C9-01A	Primary Tumor
TCGA-T3-A92M-01A	Primary Tumor
TCGA-CV-5976-01A	Primary Tumor
TCGA-CR-7365-01A	Primary Tumor
TCGA-CQ-6229-01A	Primary Tumor
TCGA-CN-6019-01A	Primary Tumor
TCGA-CV-6955-01A	Primary Tumor
TCGA-CR-5243-01A	Primary Tumor
TCGA-CQ-A4CH-01A	Primary Tumor
TCGA-CR-7364-01A	Primary Tumor
TCGA-CV-7437-11A	Solid Tissue Normal
TCGA-CV-7440-01A	Primary Tumor
TCGA-CV-7099-01A	Primary Tumor
TCGA-F7-A61S-01A	Primary Tumor
TCGA-CV-7089-01A	Primary Tumor
TCGA-CN-5363-01A	Primary Tumor
TCGA-F7-A61W-01A	Primary Tumor
TCGA-CV-A460-01A	Primary Tumor
TCGA-CV-A45U-01A	Primary Tumor
TCGA-IQ-A6SH-01A	Primary Tumor
TCGA-RS-A6TO-01A	Primary Tumor
TCGA-CV-7255-01A	Primary Tumor
TCGA-MT-A7BN-01A	Primary Tumor
TCGA-CV-6939-11A	Solid Tissue Normal
TCGA-BA-A6D8-01A	Primary Tumor
TCGA-CV-6933-01A	Primary Tumor
TCGA-CV-7432-01A	Primary Tumor
TCGA-CV-A6K1-01A	Primary Tumor
TCGA-D6-A6ES-01A	Primary Tumor
TCGA-CV-6943-01A	Primary Tumor
TCGA-D6-A6EN-01A	Primary Tumor
TCGA-CV-6942-01A	Primary Tumor
TCGA-DQ-7591-01A	Primary Tumor
TCGA-BA-A4IG-01A	Primary Tumor
TCGA-CV-7430-01A	Primary Tumor
TCGA-UF-A7JH-01A	Primary Tumor
TCGA-UF-A71A-01A	Primary Tumor
TCGA-CV-5435-01A	Primary Tumor
